show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s5804,Movie,Mary Higgins Clark's: Lucky Day,3735,"Amanda Donohoe, Gregor Toerzs, Tony Lo Bianco, Karen LeBlanc",,,2002,13,94,"Drama, Suspense","Having the winning lottery jackpot ticket is the best thing that could have happened to delivery man Bill Regan - until he turns up dead with his wallet emptied. Determined to find out what happened, a friend retraces Bill's delivery stops and discovers they lead to her own husband."
s5805,Movie,Mary Higgins Clark's: Before I Say Goodbye,3326,"Sean Young, Peter DeLuise, Ursula Karven, Lloyd Bochner",,,2003,13,95,"Drama, Suspense","Nell MacDermott loses her husband in a fiery boating accident and visits a psychic to connect with him again. But when she's informed that he was murdered, Nell is compelled to find the killer searching for an elusive witness who could solve the mystery - or end her life."
s5806,Movie,Mary 4 Mayor,848,"Corbin Bernsen, Amanda Pays, Cameron Protzman",,,2021,12,97,"Comedy, Romance","Running for mayor against her incumbent father, an 18-year-old young woman discovers valuable secrets that will not only save her town, but also her family. TV-PG"
s5807,Movie,Manifest Destiny: The Lewis & Clark Musical Adventure,358,"Jeremy Hoffman, Kev Abrams, Jesse GrothOlson, Kristen Terry, Matt Bittner",,,2016,0,87,Comedy,Lewis and Clark blaze a trail to the western waters in this epic spoof on American history.
s5808,Movie,Mama's Song,1220,"Spence Moore II, Nicci Carr",,,2020,3,41,"Drama, Kids, Special Interest",Mama's song is a film about a son who has to pick up the pieces after a family crisis.
s5809,Movie,Lea & Pop - Twinkle Twinkle Little Star & More Kids Songs,3425,"Lea, Pop",,,2021,7,50,"Animation, Kids","Make bedtime easier with these lullabies. Soothing words and music helps babies calm down and help them sleep. These lullabies lyrics lend themselves to some fun hand movements that will keep baby entertained and smiling. Put your children to sleep with lullabies from Lea and Pop. Playing soft lullabies with baby relaxing music at bedtime promotes comfort, quality sleep and brain development."
s5810,Movie,Lea & Pop - Baby Shark & More Kids Songs,3425,"Lea, Pop",,,2021,7,52,"Animation, Kids","This compilation brings you multiple educational songs for kids in one video. Come and sing together with our funny friends, Lea & Pop. A musical adventure, full of dancing songs, animals, numbers, shapes and alphabet learning activities! Educational and entertaining preschool content. Enjoy! Let's sing and dance on Looby Loo, let's clap our hands and dance with Baby Shark family."
s5811,Movie,La fille aux deux visages,4219,"Estelle Halimi, Andréa-Laure Finot, Timothy Cordukes",,,2018,0,75,"Horror, Suspense","Clarisse meets Marc, a young surgeon. She spends the night with him in his mansion. In the morning, she realizes that she has been fooled. She's now held against her will. Marc forces her to play the part of his deceased wife. After an operation, he gives her a new face. Clarisse becomes Hélène. But can we erase an identity so easily?.."
s5812,Movie,Jurassic Dinosaur Quest T-Rex Ranch,33,"LB, Aaron Michael",,,2018,7,13,Kids,"T-Rex Ranch brings you another awesome fun-packed collection of Jurassic dinosaur videos ! Watch your favorite park rangers get into all sorts of wonderful adventures, coming across lots of scary dinosaurs, awesome toys and much more!"
s5813,Movie,Jungle,1773,"Daniel Radcliffe, Thomas Kretschmann, Joel Jackson, Yasmin Kassim","Australia, Colombia, United Kingdom",,2017,14,116,Action,"A group of friends join a guide for a trek into the Bolivian jungle, searching for an Indian village. The men soon realize that the jungle is a difficult place to be."
