content_category,total_count,avg_preference,avg_release_year
"Movie - Comedies, International Movies, Music & Musicals",55,63.78181818181818,2011.418181818182
"Movie - Comedies, International Movies, Romantic Movies",152,70.85526315789474,2014.0526315789473
"Movie - Comedies, International Movies, Sci-Fi & Fantasy",6,52.5,2003.6666666666667
"Movie - Comedies, International Movies, Sports Movies",6,61.666666666666664,2014.6666666666667
"Movie - Comedies, International Movies, Thrillers",5,69.0,2015.2
"Movie - Comedies, LGBTQ Movies",2,71.5,2016.5
"Movie - Comedies, LGBTQ Movies, Music & Musicals",1,88.0,2020.0
"Movie - Comedies, LGBTQ Movies, Thrillers",1,70.0,2021.0
"Movie - Comedies, Music & Musicals",7,68.14285714285714,2009.5714285714287
"Movie - Comedies, Music & Musicals, Romantic Movies",2,77.5,2018.5
"Movie - Comedies, Music & Musicals, Sports Movies",1,58.0,2019.0
"Movie - Comedies, Romantic Movies",80,73.0,2010.8375
"Movie - Comedies, Romantic Movies, Sports Movies",1,74.0,2012.0
"Movie - Comedies, Sci-Fi & Fantasy",3,53.333333333333336,2007.6666666666667
"Movie - Comedies, Sports Movies",8,60.75,2008.375
"Movie - Cult Movies, Dramas, International Movies",1,78.0,1982.0
"Movie - Cult Movies, Dramas, Music & Musicals",1,79.0,1981.0
"Movie - Cult Movies, Dramas, Thrillers",1,62.0,2007.0
"Movie - Cult Movies, Horror Movies",5,70.6,1991.0
"Movie - Cult Movies, Horror Movies, Independent Movies",2,67.0,1996.0
"Movie - Cult Movies, Horror Movies, Thrillers",1,47.0,2000.0
"Movie - Cult Movies, Independent Movies, Thrillers",1,77.0,2013.0
Movie - Documentaries,359,71.39554317548746,2016.0724233983287
"Movie - Documentaries, Dramas",1,56.0,2019.0
"Movie - Documentaries, Dramas, International Movies",2,47.5,2016.5
"Movie - Documentaries, Faith & Spirituality",8,69.625,2016.375
"Movie - Documentaries, Faith & Spirituality, International Movies",3,82.33333333333333,2017.0
"Movie - Documentaries, Faith & Spirituality, Music & Musicals",1,73.0,2016.0
"Movie - Documentaries, Horror Movies",2,60.5,2017.0
"Movie - Documentaries, International Movies",186,67.7258064516129,2015.8064516129032
"Movie - Documentaries, International Movies, LGBTQ Movies",7,78.14285714285714,2017.0
"Movie - Documentaries, International Movies, Music & Musicals",41,66.70731707317073,2017.7317073170732
"Movie - Documentaries, International Movies, Sports Movies",44,71.04545454545455,2017.5681818181818
"Movie - Documentaries, LGBTQ Movies",22,67.77272727272727,2018.0454545454545
"Movie - Documentaries, LGBTQ Movies, Music & Musicals",2,64.0,2017.0
"Movie - Documentaries, LGBTQ Movies, Sports Movies",2,67.0,2021.0
"Movie - Documentaries, Music & Musicals",82,67.91463414634147,2014.9634146341464
"Movie - Documentaries, Sports Movies",65,72.1076923076923,2016.9846153846154
"Movie - Documentaries, Stand-Up Comedy",2,70.0,2017.0
Movie - Dramas,138,67.09420289855072,2012.195652173913
"Movie - Dramas, Faith & Spirituality",18,68.38888888888889,2016.111111111111
"Movie - Dramas, Faith & Spirituality, Independent Movies",1,56.0,2018.0
"Movie - Dramas, Faith & Spirituality, International Movies",12,69.91666666666667,2016.3333333333333
"Movie - Dramas, Faith & Spirituality, Romantic Movies",2,58.0,2016.5
"Movie - Dramas, Faith & Spirituality, Sports Movies",1,99.0,2011.0
"Movie - Dramas, Horror Movies, Music & Musicals",1,66.0,2007.0
"Movie - Dramas, Horror Movies, Sci-Fi & Fantasy",1,59.0,2013.0
"Movie - Dramas, Horror Movies, Thrillers",1,52.0,1978.0
"Movie - Dramas, Independent Movies",100,72.14,2015.21
"Movie - Dramas, Independent Movies, International Movies",252,70.71428571428571,2014.8492063492063
"Movie - Dramas, Independent Movies, LGBTQ Movies",17,63.88235294117647,2013.5294117647059
"Movie - Dramas, Independent Movies, Music & Musicals",8,72.75,2015.25
"Movie - Dramas, Independent Movies, Romantic Movies",24,67.70833333333333,2013.7083333333333
"Movie - Dramas, Independent Movies, Sci-Fi & Fantasy",7,74.57142857142857,2015.4285714285713
"Movie - Dramas, Independent Movies, Sports Movies",8,73.875,2017.5
"Movie - Dramas, Independent Movies, Thrillers",31,73.96774193548387,2015.258064516129
